Date,S&P500,NASDAQ,DOWJONES,NIKKEI,HANGSENG,USDINR,USDJPY,USDCNY,INDIAVIX,VIX,CRUDE,GOLD,SILVER,NATGAS,COPPER,WHEAT,UST10Y,DOLLARINDEX
,^GSPC,^IXIC,^DJI,^N225,^HSI,INR=X,JPY=X,CNY=X,^INDIAVIX,^VIX,BZ=F,GC=F,SI=F,NG=F,HG=F,ZW=F,^TNX,DX-Y.NYB
2018-01-01,,,,,,63.84080123901367,112.66600036621094,6.50570011138916,13.350000381469727,,,,,,,,,
2018-01-02,2695.81005859375,7006.89990234375,24824.009765625,,30515.310546875,63.86759948730469,112.7699966430664,6.505799770355225,13.6899995803833,9.770000457763672,66.56999969482422,1313.699951171875,17.121000289916992,3.055999994277954,3.25600004196167,433.5,2.4649999141693115,91.8499984741211
2018-01-03,2713.06005859375,7065.52978515625,24922.6796875,,30560.94921875,63.459999084472656,112.24400329589844,6.49399995803833,13.619999885559082,9.149999618530273,67.83999633789062,1316.199951171875,17.184999465942383,3.007999897003174,3.236999988555908,436.0,2.447000026702881,92.16000366210938
2018-01-04,2723.989990234375,7077.91015625,25075.130859375,23506.330078125,30736.48046875,63.41910171508789,112.60700225830078,6.5030999183654785,13.420000076293945,9.220000267028809,68.06999969482422,1319.4000244140625,17.18899917602539,2.880000114440918,3.242500066757202,434.0,2.453000068664551,91.8499984741211
2018-01-05,2743.14990234375,7136.56005859375,25295.869140625,23714.529296875,30814.640625,63.369598388671875,112.78299713134766,6.493299961090088,13.109999656677246,9.220000267028809,67.62000274658203,1320.300048828125,17.204999923706055,2.7950000762939453,3.2070000171661377,430.75,2.4760000705718994,91.94999694824219
2018-01-08,2747.7099609375,7157.39013671875,25283.0,,30899.529296875,63.26499938964844,113.15399932861328,6.487500190734863,13.739999771118164,9.520000457763672,67.77999877929688,1318.5999755859375,17.06399917602539,2.8350000381469727,3.2009999752044678,427.75,2.4800000190734863,92.33000183105469
2018-01-09,2751.2900390625,7163.580078125,25385.80078125,23849.990234375,31011.41015625,63.45199966430664,113.14099884033203,6.497600078582764,13.850000381469727,10.079999923706055,68.81999969482422,1311.699951171875,16.93600082397461,2.9230000972747803,3.194499969482422,432.25,2.5460000038146973,92.52999877929688
2018-01-10,2748.22998046875,7153.56982421875,25369.130859375,23788.19921875,31073.720703125,63.63610076904297,112.75499725341797,6.529399871826172,14.039999961853027,9.819999694824219,69.19999694824219,1317.4000244140625,16.96299934387207,2.9059998989105225,3.2149999141693115,434.25,2.549999952316284,92.33000183105469
2018-01-11,2767.56005859375,7211.77978515625,25574.73046875,23710.4296875,31120.390625,63.7599983215332,111.44400024414062,6.507199764251709,14.010000228881836,9.880000114440918,69.26000213623047,1320.5999755859375,16.893999099731445,3.0840001106262207,3.2135000228881836,433.25,2.5309998989105225,91.8499984741211
2018-01-12,2786.239990234375,7261.06005859375,25803.189453125,23653.8203125,31412.5390625,63.67210006713867,111.29399871826172,6.490200042724609,13.729999542236328,10.15999984741211,69.87000274658203,1333.4000244140625,17.069000244140625,3.200000047683716,3.200000047683716,420.5,2.552000045776367,90.97000122070312
2018-01-15,,,,23714.880859375,31338.869140625,63.5885009765625,111.0999984741211,6.456200122833252,14.3100004196167,,,,,,,,,
2018-01-16,2776.419921875,7223.68994140625,25792.859375,23951.810546875,31904.75,63.52119827270508,110.58100128173828,6.435200214385986,14.09000015258789,11.65999984741211,69.1500015258789,1335.4000244140625,17.121999740600586,3.128999948501587,3.1989998817443848,416.5,2.5439999103546143,90.38999938964844
2018-01-17,2802.56005859375,7298.27978515625,26115.650390625,23868.33984375,31983.41015625,63.994300842285156,110.38800048828125,6.442299842834473,13.859999656677246,11.90999984741211,69.37999725341797,1338.0,17.104999542236328,3.2320001125335693,3.1665000915527344,421.5,2.578000068664551,90.54000091552734
2018-01-18,2798.030029296875,7296.0498046875,26017.810546875,23763.369140625,32121.939453125,63.82500076293945,111.3759994506836,6.43209981918335,13.960000038146973,12.220000267028809,69.30999755859375,1326.0,16.89299964904785,3.188999891281128,3.177000045776367,425.25,2.6110000610351562,90.5
2018-01-19,2810.300048828125,7336.3798828125,26071.720703125,23808.060546875,32254.890625,63.86759948730469,111.0260009765625,6.420599937438965,13.979999542236328,11.270000457763672,68.61000061035156,1331.9000244140625,16.975000381469727,3.184999942779541,3.1670000553131104,422.75,2.63700008392334,90.56999969482422
2018-01-22,2832.969970703125,7408.02978515625,26214.599609375,23816.330078125,32393.41015625,63.83209991455078,110.68399810791016,6.4029998779296875,15.390000343322754,11.029999732971191,69.02999877929688,1330.9000244140625,16.930999755859375,3.2239999771118164,3.177500009536743,425.75,2.6649999618530273,90.4000015258789
2018-01-23,2839.1298828125,7460.2900390625,26210.810546875,24124.150390625,32930.69921875,63.88010025024414,110.96600341796875,6.404399871826172,16.229999542236328,11.100000381469727,69.95999908447266,1335.699951171875,16.854999542236328,3.444000005722046,3.0894999504089355,421.5,2.624000072479248,90.12000274658203
2018-01-24,2837.5400390625,7415.06005859375,26252.119140625,23940.779296875,32958.69140625,63.7504997253418,110.10700225830078,6.402900218963623,18.040000915527344,11.470000267028809,70.52999877929688,1355.9000244140625,17.424999237060547,3.509000062942505,3.2084999084472656,433.0,2.6540000438690186,89.20999908447266
2018-01-25,2839.25,7411.16015625,26392.7890625,23669.490234375,32654.44921875,63.57789993286133,109.32599639892578,6.36929988861084,17.510000228881836,11.579999923706055,70.41999816894531,1362.4000244140625,17.551000595092773,3.447000026702881,3.1989998817443848,434.5,2.621000051498413,89.38999938964844
